id,adresse,ville,tel,fax,email,lon,lat,code,wilaya
"0",Ancien siège de la wilaya,ADRAR,049.36.12.38,049.36.12.35,mohamed.rahmouni@ansej.dz,-0.293594599000000,27.869212449999999,"1",ADRAR
"1",Ancien siège de la daïra d’Aoulef,AOULEF,049.32.71.32,049.32.71.32,ahmed.drissi@ansej.dz,1.080871224000000,26.971508530000001,"1",ADRAR
"2",Siège Inspection du travail,TIMIMOUN,049.90.02.32,049.90.02.32,mhammed.ouledbihi@ansej.dz,0.235929787000000,29.269638170000000,"1",ADRAR
"4",Centre de finance Bordj-Badji Mokhtar,BORDJ BADJI MOKHTAR,049.32.97.07,049.32.97.07,rouhelarbi.nadji@ansej.dz,0.954705477000000,21.330415009999999,"1",ADRAR
"9",Ancien siège de la daïra de Reggane,REGGANE,049.97.02.91,049.97.02.91,abderrahmane.labair@ansej.dz,0.175990462000000,26.719889689999999,"1",ADRAR
"28",Route nationale n°19 Bouzeghaia,BOUZEGHAIA,027.71.56.55,027.71.56.55,ahmed.ouzene@ansej.dz,1.237845000000000,36.339421999999999,"2",CHLEF
"29","Zone différée, 38 Logements  AADL Chlef",CHLEF,027.77.04.23,027.79.72.72,djilali.boumediene@ansej.dz,1.330968000000000,36.162672000000001,"2",CHLEF
"63",Rue de Laghouat Route Nationale 23 AFLOU,AFLOU,029.17.55.71,029.17.55.71,khallil.khamloul@ansej.dz,2.106570750000000,34.118992720000001,"3",LAGHOUAT
"64",Cite El Gouatine Laghouat,LAGHOUAT,029.14.20.77,029.14.20.88,Kheira.Gourine@ansej.dz,2.874437571000000,33.821781000000001,"3",LAGHOUAT
"87",Cité administrative bloc N°2  2ième étage Batna,BATNA,033.25.48.48,033.25.48.48,kamal.souanef@ansej.dz,6.167595000000000,35.547027999999997,"5",BATNA
"88",Rue Khezani Lakhdar Ain Touta,AIN TOUTA,033.35.50.99,033.35.50.99,younes.benmakhlouf@ansej.dz,5.898951000000000,35.377541000000001,"5",BATNA
"90",Cité frères Sahraoui (Cité Zaitouna) Barika,BARIKA,033.39.35.36,033.39.35.36,hani.haifkhaif@ansej.dz,5.353091000000000,35.392420000000001,"5",BATNA
"91",Cité Deraa Zitoune Arris,ARRIS,033.34.50.03,033.34.50.03,saleheddine.benzerrouk@ansej.dz,6.357856000000000,35.256152000000000,"5",BATNA
"148",Cité 200 logements OPGI Ihadaden Bejaia,BEJAIA,034.10.67.67,034.10.67.68,nadir.kheffache@ansej.dz,5.084330000000000,36.755870000000002,"6",BEJAIA
"149",Ex ERIAD Selouana Ouzellaguen,AKBOU,034.35.69.13,034.35.69.13,nassim.gougam@ansej.dz,4.534940000000000,36.457500000000003,"6",BEJAIA
"150",Darguina Centre,DARGUINA,034.39.82.35,034.39.82.35,abdelghani.taleb@ansej.dz,5.306000000000000,36.564599999999999,"6",BEJAIA
"200",Cité Moudjahidine (ex Souk El Fellah) BP 297 Beni Morrah Biskra,BISKRA,033.65.79.55,033.65.79.55,fatima.rouagued@ansej.dz,5.720859400000000,34.858665000000002,"7",BISKRA
"202",Siège de l’ex Daïra Ouled Djellal,OULED DJELLAL,033.66.32.81,033.66.32.81,abdeldjalil.zine@ansej.dz,5.062685000000000,34.426476000000001,"7",BISKRA
"204",ex Centre de la garde communal Tolga,TOLGA,033.59.75.51,033.59.75.51,ahmed.mghezzilarafi@ansej.dz,5.400395000000000,34.731470000000002,"7",BISKRA
"211",Cité administrative Zeribet El Oued,ZERIBET EL OUED,033.64.14.97,033.64.14.97,morad.bennadji@ansej.dz,6.509954400000000,34.678075000000000,"7",BISKRA
"233",Cité Rachid Madouni à côté Immeuble Pasteur Bechar,BECHAR,049.21.11.60,049.21.11.62,tahar.belamouri@ansej.dz,-2.217415000000000,31.619119000000001,"8",BECHAR
"235",Rue Amir Abdelkader Beni Abbes,BENI ABBES,049.28.52.45,049.28.52.45,moussa.moulfi@ansej.dz,-2.169178000000000,30.127884999999999,"8",BECHAR
"237",Centre-ville Beni Ounif Bechar,BENI OUNIF,049.84.30.00,049.84.30.00,,-1.247493000000000,32.047939999999997,"8",BECHAR
"254",Cité 222 logements bâtiment B2 Rue Belkacem El Ozri  Blida.,BLIDA,025.23.39.49,025.23.39.49,mohamed.melab@ansej.dz,2.811279000000000,36.480429000000001,"9",BLIDA
"255",Cité 222 logements bâtiment B2 Rue Belkacem El Ozri  Blida.,BOUFARIK,025.23.39.91,025.23.39.91,ali.kebilene@ansej.dz,2.825929000000000,36.485250999999998,"9",BLIDA
