id,title,address,city,tel,lat,lon,code_wil
"171",DZ007 - Macir Vie,"40 Rue Boudjmaa Hayouna, Cité les Abatoires",Staouali,07 82 29 16 12,36.759129,2.888891,"16"
"178",ST001 - Park Mall," N° U1,14RDC centre commercial PARC MALL Setif",Sétif,07 82 29 16 51 / 05 54 84 87 47,36.190748,5.410185,"19"
"74",16.Y.YOUNSI,Cité 297 logts CNEP Birtouta,Birtouta,07 82 29 15 32,36.646094,3.047605,"16"
"70",16.N.OMARI,"56, lotissement Souk El Fellah - Douéra - W.Alger",Douera,0661 51 12 53,36.649094,2.927584,"16"
"72",16.R.amroun,"20, Rue El Djamila Ain el Benian Alger",Ain Benian,07 82 29 13 50,36.803256,2.900121,"16"
"67",16.n.berraf,13 Route de Cheraga Ouled fayet ALGER,Ouled Fayet,05 51 15 48 32,36.758156,2.933685,"16"
"59",16.1.Y.YOUNSI,Rue Djaiche Ettahrir El Watani N°03 Tassala El Merdja-Alger,Tassala Elmerdja,07 82 29 15 32,36.632201330776,2.9462139399014,"16"
"66",16.M.BOULASBAA,Oued el tarfa route el achour Bt 07 S3 -Draria -Alger.,Draria,05 50 10 11 05,36.719165,2.981306,"16"
"61",16.3.N.OMARI,116 Rue des Frères Nadir Baba-Hassen ALGER,Baba Hassen,06 61 51 12 53,36.732998,3.085546,"16"
"3", DZ001 - Agence CHERAGA,Chéraga Ouled Fayet N° 57 Alger,Chéraga, 07 82 29 15 86,36.755765,2.951391,"16"
"167",DZ003 - Agence EL BIAR,Rue Mustapha Khalef EL BIAR -ALGER,EL Biar, 07 82 29 14 39 / 05 54 84 86 05,36.763512,3.020155,"16"
"169",DZ005 - Agence SIDI YAHIA,Rue yahia belhayet bts 14-Hydra-Alger,Hydra, 07 82 29 14 93 / 05 54 84 85 26,36.749192,3.037872,"16"
"170",DZ006 - Agence BOUZAREAH,Rue Ali remli N 68  Bouzeriah ex: pascal  Alger,Bouzareah, 07 82 29 14 67 / 05 54 82 30 54,36.779899,3.010268,"16"
"174",DZ011 - Agence DELY IBRAHIM,"Boutique N°1 rez-de-chaussée, Bois Des Cars 1 N° 124 Dely Ibrahim ALGER",Dely Ibrahim, 07 82 29 16 29 / 05 54 80 29 23,36.753501,2.978547,"16"
"172",DZ009 - Agence ZERALDA,"N 07 Dévision est, boulvard 1 er novembre zéralda ",Zeralda,07 82 29 15 72 / 05 54 84 87 46,36.694615,2.827796,"16"
"123",30.L.Merizgui, Cité Fadila Saadane commune et daira de Hassi Massaoud wilaya de OUARGLA,Hassi Messaoud,07 70 63 29 63,31.6899745453175,6.06586146098624,"30"
"113",26.M.L.HAMMOUDI,Rue Mokadem Ben Youcef ( Hammam Bouchou ) Medea,Médéa,07 82 29 15 36,36.285385,2.768025,"26"
"112",26.1.M.L.HAMMOUDI,Cité mohamedi N°43 Berrouaghia Medea,Berrouaghia,07 82 29 15 36,36.1358811493922,2.92022971557622,"26"
"161",44.M.ZERROUKI,rue mohamed khmesti el Attaf,El Attaf,07 82 29 15 49,36.22582,1.677435,"44"
"160",44.A.SELMANE,"02,Rue de Martyrs, Ain Defla",Ain Defla,07 82 29 14 59,36.264479,1.95857,"44"
"159",44.1.A.SELMANE,"locale N°2 RDC zone industrielle N°16 commune Elamra -Aindefla,",Elamra,07 82 29 14 59,36.3058601638957,1.8469563009534,"44"
"162",44.S.FERHAT,Cité Nadjem - Aïn Defla - W.Aïn Defla,Ain Defla,07 82 29 15 42,36.257204,1.957519,"44"
"4",02-01.50, RDC Batiment 4 N°1 commune et daira de Chlef,Chlef,0782 16 44 39 / 0554 84 86 74,36.1645864,1.3318918,"2"
"7",02.B.MESSABIH,"31, Rue Aspirant Dahmane - Chlef - W.Chlef",chlef,07 80 58 43 04,36.154817,1.325696,"2"
"5",02.1.S.BENZERGA,"N°12 Hay Bensouna, Route d’oran chlef ",Chlef,05 51 12 35 50,36.160921,1.315595,"2"
"8",02.S.TAHAR-DJEBBAR,Rue Ghoulami - Boukadir - W.Chlef,Boukadir,06 65 63 44 48,36.0639139841399,1.12311964866846,"2"
"6",02.1.S.TAHAR-DJEBBAR,Rue de la gare - Bâtiment OPGI - Oued Sly - W.Chlef,Oued Sly,06 65 63 44 48,36.104424,1.19619,"2"
"27",09-07.10 - Agence OULED YAICH,Cité 1652 LGTS AADL BT 10 local N°03 OULED YAICH,Ouled Yaich,07 82 29 14 57,36.475793,2.829758,"9"
"165",BL0001,Avenue MEKERKEB Ben YOUCEF ex lotissement(VIDAL CORNARY),Blida,07 82 29 16 24 / 05 54 80 28 81,36.472281,2.816912,"9"
"9",03-01.20 - Agence LAGHOUAT,Cité El maamoura Lghouat,Laghouat,07 82 29 15 94 / 05 54 84 41 58,33.798062,2.866655,"3"
"2", 44-04.10 - Agence KHEMIS MELIANA,Cité 56 logts LSP khmis miliana,Khemis Miliana, 07 82 29 14 37 / 05 54 80 30 71,36.256575,2.220505,"44"
"29",09-20.10 - Agence BOUFARIK,03 Rue des frères Bouza Boufarik W. Blida,Boufarik,07 82 29 14 58,36.584859,2.907609,"9"
"28",09-14.10 - Agence SOUMAA,Route Nationale n°29 local 1 lot soumaa-BLIDA,Soumaa,07 82 29 14 56 / 05 54 84 87 18,36.5188058533693,2.90808403884924,"9"
"146",42-12.10 - Agence HADJOUT,Rue LAARBI BOUKELFOUNE Hadjout Tipaza,Hadjout,07 82 29 14 71 / 05 54 80 17 07,36.5110787,2.4083219,"42"
"25",09-01.20 - Agence LES PALMIERS,Avenue Kritli Mokhtar N°17 B Blida,Blida,07 82 29 14 70 / 05 54 80 38 23,36.475039,2.832578,"9"
"26",09-04.20 - Agence OUED EL ALLEUG,"Boulevard principal, Royal Groupe N°175. Section 10 commune Oued El Alleug BLIDA",Oued El Alleug,07 82 29 13 43 / 05 54 80 21 19,36.5542755287667,2.78982491655853,"9"
"148",42-26.10 - Agence BOUSMAIL,Rue 1er novembre -Bousmail w Tipaza,Bou-Smail,07 82 29 14 55 / 05 54 84 87 19,36.591737,2.449262,"42"
"147",42-22.10 - Agence CHERCHEL,3 RUE YOUCEF KHOUDJA MOHAMED - Cherchell - W.Tipaza,Cherchel,07 82 29 14 18 / 05 54 84 87 24,36.6082727353659,2.18862735405655,"42"
"145",42-01.10 - Agence RUE DU STADE,Cité  des 140 logts rue du stade Tipaza,Tipaza,07 82 29 14 66 / 05 54 80 16 45,36.5884957042353,2.43702256570284,"42"
"163",47-01.10 - Agence GHARDAIA, Rue 05 Juillet Cité Thniyete El Makhzen wilaya de GHARDAIA,Ghardaia,07 82 29 14 46 / 05 54 84 36 25,32.475239,3.696225,"47"
"68",16.N.MEDJOUTI,Lot du lycée Abdelmoumène n°97 – Rouiba,Rouiba,07 71 15 00 10,36.74093,3.287165,"16"
"57",16.1.N.MEDJOUTI,Route Nationale N°24 Brise Marine Bordj el bahri,Bordj el bahri,07 71 15 00 10,36.785524,3.249345,"16"
"58",16.1.r.amroun,coop 05 juillet N° 70 route de bougara sidi moussa,Sidi moussa,07 82 29 13 50,36.622979,3.107728,"16"
"60",16.2.R.AMROUN,Cité la montagne bloc 1 E 15 BOUROUBA - Alger,Bourouba,07 82 29 13 50,36.711707,3.115248,"16"
"64",16.B.GRIBI, Lot A7 LOT 7 BIS Ain-naadja local N° 01 W-Alger,Gue de constantine,07 82 29 14 50,36.704473,3.082667,"16"
"63",16.B.BERBAR,"10, Rue des Fréres Oughlis el mouradia W.Alger ",El Mouaradia, 05 41 13 84 22,36.745235,3.050518,"16"
"65",16.F.KACED,"14, Avenue Abdelhamid Khodja Kouba",Kouba,07 82 29 14 49,36.726673,3.081495,"16"
"71",16.N.SAIDI,"454 Baraki, Route de l'Arbaa Alger",Beraki,07 82 29 15 39,36.667295,3.09858,"16"
"62",16.4.N.OMARI,Cité 632 logts BT37 n°1 EL MOHAMMADIA,El Mohammadia,0661 51 12 53,36.73039,3.147224,"16"
"75",16.Z.SIDAZARA,Cité 406 logts AADL Bt 01 local N°04 eucalyptus Alger,Eucalyptus,07 82 29 15 34,36.664526,3.167926,"16"
"73",16.R.MADDOUI,Cité ravanal lot n°18 BEN TALHA -BERRAKI,Berraki,05 41 60 72 05,36.648084,3.075152,"16"
"69",16.N.NACERI,"35 Coopérative Erroched Vieux Kouba, Kouba - Alger.",Kouba,07 71 93 79 33,36.730015,3.078247,"16"
"53",16-13.20 - Agence BELLE VUE,"15, Rue Abderrahmane Sebaa Bellevue El Harrach",El Harrach,07 82 29 14 60 / 05 54 80 31 28,36.725893,3.139072,"16"
"54",16-18.10 - Agence BAB EZZOUAR,cité 1200 logts copérative ESSANOUBER lot N° 02 BAB EZZOUAR,Bab Ezouar, 07 82 29 14 68 / 05 54 84 85 42,36.720625,3.185497,"16"
"56",16-30.10 - Agence BORDJ EL KIFANE,Cité les Hirondelles Bloc 24 local N°02 lido Bordj el kifan,Bordj el kifan,07 82 29 14 47,36.747187,3.190432,"16"
"55",16-20.10 - Agence DAR EL BEIDA,"18,Rue Mohamed Khemisti, Local 49 dar el beida",Dar El Beida, 07 82 29 14 53 / 05 54 84 86 61,36.715659,3.208498,"16"
"51",16-09.10 - Agence LES SOURCES,KADAT LES SOURCES BIRMOURAD RAIS,Les Sources, 07 82 29 14 62 / 05 54 80 30 91,36.735349,3.050374,"16"
"52",16-12.10 - Agence BIR KHADEM, Place taleb mohamed ameziane commune et daira de bir khadel,Birkhadem,07 82 29 14 69 / 05 54 84 87 20,36.717067,3.049006,"16"
"173",DZ010 - Agence HUSSEIN DEY,Rue fernane hanafi ex: vou-bon n°51 Hussein dey ALGER,Hussein dey, 07 82 29 14 41 / 05 54 84 08 71,36.738387,3.094201,"16"
"175",DZ012 - Agence REGHAIA,Coopérative immobilière ESSADAKA 1 RDC local N°04 B commune de REGHAIA wilaya d'ALGER,Reghaia, 07 82 09 07 53 / 05 54 83 84 62,36.743148,3.338737,"16"
"168",DZ004 - Agence KOUBA,201 parc BEN OMAR 16050-KOUBA-Alger,Kouba,07 82 29 15 28 / 05 54 84 86 02,36.725493,3.091225,"16"
"49",15.B.AITIDDIR,Freha centre sur ancienne route d'AZAZGA Tizi Ouzou,Freha,07 82 29 14 35,36.734386,4.366791,"15"
"47",15.A.Chabni,"9, Avenue Abane Ramdane - Tizi Ouzou - W.Tizi Ouzou",Tizi Ouzou,07 82 29 15 33,36.712903,4.048736,"15"
"43",15.1.Achabni,Immeuble Ait Ali locale n° 3 Tikobiene  ouaguenoune . Tizi Ouzou,Ouaguenoune,07 82 29 15 33,36.770094,4.175088,"15"
"44",15.3.A.CHABNI,N°7 1er étage bouhamdoune maatkas w Tiziouzou,Meatka,07 82 29 15 33,36.6052363161842,3.9841117275086,"15"
"45",15.5.ACHABNI,"Zone industrielle AISSET Idir,Taadja immeuble YEFSAF lot 95 local n°13CNE Tizi Rached ",Tizi Rached,07 82 29 15 33,36.692784,4.137303,"15"
"46",15.6.A.CHABNI,B7 Route Nationnale N°15 Larabaa Nathirathen W-Tiziouzou,Larabaa Natherathen,07 82 29 15 33,36.6362409326964,4.20538069876579,"15"
"48",15.A.MESSAOUDENE,Route de Aïn El Hammam - Azazga - W.Tizi Ouzou,Azazga,07 82 29 15 46,36.7421035825756,4.37249123762649,"15"
"142",35.G.BOUDERBALA,Rue principale - Baghlia - W.Boumerdes,Baghlia,07 82 29 15 52,36.8169392234706,3.85901394431742,"35"
"139",35.1.GBOUDERBALA,04 DELLYS -Boumerdes,Dellys,07 82 29 15 52,36.9145345727458,3.91326642509564,"35"
"141",35.A.DJADEL,Coopérative El Moustaqbel - Rue Colonel Amirouche - Les Issers - W.Boumerdes,Les Issers,07 82 19 16 34,36.7278754059672,3.66734334234067,"35"
"140",35.2.A.DJADEL,cité 11 Decembre 1960 coopérative el Badr bt 63 commune -wilaya Boumerdes,Boumerdes,07 82 19 16 34,36.756782,3.458039,"35"
"50",15.M.AMMAD,"Arkoub Nath Kaci Village Timizart loghbar, N°05 commune Ait Aissa Mimoune. Tizi ouzou",Ait Aissa Mimoune,05 57 92 35 53,36.725451,4.087435,"15"
"138",35-20.10 - Agence OULED MOUSSA,Rue de la pacerelle ouled moussa,Ouled Moussa,07 82 29 14 73 / 05 54 84 85 58,36.680005,3.389289,"35"
"137",35-10.30 - Agence ROUTE N°3,"Route nationale N°24 local N°03- Boumerdes,",Boumerdes,07 82 29 16 10 / 05 54 84 85 37,36.751256,3.472567,"35"
"42",15-40.10 - Agence BOUGHNI,Rue des fréres BENAKLI 15003 cne BOGHNI,Boghni,07 82 29 14 34 / 05 54 80 41 06,36.541055,3.955875,"15"
"38",15-01.20 - Agence CITE 05 JUILLET,Cité 5 juillet Bt 05 local 01 Tizi Ouzou,Tizi Ouzou,07 82 29 14 32 / 05 54 80 16 26,36.711821,4.051717,"15"
"40",15-34.10 - Agence BOUZEGUENE,Centre de Bouzeguene Tizi Ouzou,Bouzeguene,07 82 29 14 65 / 05 54 83 16 98,36.61413,4.472591,"15"
