num, code, nom, code_wil, nom_wil 
1, 01001, Adrar, 01, Adrar
2, 01002, Tamest, 01, Adrar
3, 01003, Charouine, 01, Adrar
4, 01004, Reggane, 01, Adrar
5, 01005, Inozghmir, 01, Adrar
6, 01006, Tit, 01, Adrar
7, 01007, Ksar Kaddour, 01, Adrar
8, 01008, Tsabit, 01, Adrar
9, 01009, Timimoun, 01, Adrar
10, 01010, Ouled Said, 01, Adrar
11, 01011, Zaouiet Kounta, 01, Adrar
12, 01012, Aoulef, 01, Adrar
13, 01013, Timokten, 01, Adrar
14, 01014, Tamentit, 01, Adrar
15, 01015, Fenoughil, 01, Adrar
16, 01016, Tinerkouk, 01, Adrar
17, 01017, Deldoul, 01, Adrar
18, 01018, Sali, 01, Adrar
19, 01019, Akabli, 01, Adrar
20, 01020, Metarfa, 01, Adrar
21, 01021, Ouled Ahmed Timmi, 01, Adrar
22, 01022, Bouda, 01, Adrar
23, 01023, Aougrout, 01, Adrar
24, 01024, Talmine, 01, Adrar
25, 01025, Bordj Badji Mokhtar, 01, Adrar
26, 01026, Sbaa, 01, Adrar
27, 01027, Ouled Aissa, 01, Adrar
28, 01028, Timiaouine, 01, Adrar
29, 02001, Chlef , 02, Chlef
30, 02002, Tenes , 02, Chlef
31, 02003, Benairia , 02, Chlef
32, 02004, El Karimia , 02, Chlef
33, 02005, Tadjna , 02, Chlef
34, 02006, Taougrite , 02, Chlef
35, 02007, Beni Haoua , 02, Chlef
36, 02008, Sobha , 02, Chlef
37, 02009, Harchoun , 02, Chlef
38, 02010, Ouled Fares , 02, Chlef
39, 02011, Sidi Akacha , 02, Chlef
40, 02012, Boukadir , 02, Chlef
41, 02013, Beni Rached , 02, Chlef
42, 02014, Talassa , 02, Chlef
43, 02015, Herenfa , 02, Chlef
44, 02016, Oued Goussine , 02, Chlef
45, 02017, Dahra , 02, Chlef
46, 02018, Ouled Abbes , 02, Chlef
47, 02019, Sendjas , 02, Chlef
