num,code_agence,type,address,commune,startDate,tel,fax,mobile,openHour,closeHour,lat,lon,code_wil
"302",5141,ANX,Marché Couvert,Timimoun,3/14/10,049.904.275,049.904.275,,08:30:00.000,16:30:00.000,29.2656375,0.233910156249991,"1"
"301",5140,A.G,Rue Abdelkader Benslimane ,Adrar,3/9/07,049.367.430,049.367.430,,08:00:00.000,17:00:00.000,27.8723725,-0.287050781250016,"1"
"113",2122,ANX,Rue de la République - ex Ibn Rochd,Chlef,3/1/07,027.778.307,027.778.307,0.550.903.213,08:00:00.000,17:00:00.000,36.1684749984188,1.33581459554895,"2"
"306",5171,ANX,Cité Oasis Nord,Laghouat,7/22/18,029.112.892,,,08:30:00.000,16:30:00.000,33.8129075,2.86713671874999,"3"
"305",5170,A.G,"Groupe de propriété N° 049 section 144 Frères Menouar, Bouameur - Maamourah ",Laghouat,2/1/18,029.131.446,029.131.446,0.561.604.748,08:00:00.000,17:00:00.000,33.7964725,2.86637109374998,"3"
"314",5240,A.G,Route Nationale 23 - Route de Tiaret,Aflou,6/1/13,029.176.112,029.176.114,,08:00:00.000,16:00:00.000,34.1183575,2.10045703125,"3"
"238",7460,A.G,N° 2A Rue de Sport,Ain Kercha,7/10/18,032.441.022,,0.670.244.542,08:00:00.000,17:00:00.000,35.9256025,6.69600390625,"4"
"220",7282,ANX,Cité El Nasr 02,Ain Beida,3/18/18,032.699.924,032.699.924,0.774.160.435,08:00:00.000,17:00:00.000,35.7999925,7.38342578125001,"4"
"227",7350,A.G,Cité El Hana,Ain Mlila,1/1/17,032.508.870,,0.561.604.480,08:30:00.000,16:30:00.000,36.0456775,6.56758203125004,"4"
"234",7420,A.G,Rue Bechoua,Ain Mlila,4/1/18,032.502.026,,0.661.139.925,08:00:00.000,17:00:00.000,36.0367775,6.57539453125001,"4"
"219",7281,ANX,Cité El Afak 3,Ain Fakroun,4/20/16,032.417.251,,0.774.160.435,08:00:00.000,17:00:00.000,35.980241,6.8710886,"4"
"218",7280,A.G,"26, Cité Djenane Ezzitoune - Bt. 3",Oum El Bouaghi,9/1/12,032.556.394,,0.560.951.374,08:00:00.000,17:00:00.000,35.8727925,7.12334765625,"4"
"160",6230,A.G,Rue Bouguechal Aïssa,N'gaous,2/15/04,033.377.331,033.377.331,0.561.604.623,08:00:00.000,16:30:00.000,35.5528225,5.61172265624997,"5"
"155",6150,A.G,Cité 712 logements - Local 15 - Bloc 21,Barika,9/10/04,033.391.732,033.391.732,0.561.604.669,08:00:00.000,16:30:00.000,35.3838675,5.36955859375003,"5"
"154",6140,A.G,"111, Rue Hadj Abdessamed",Batna,1/22/10,033.805.481,033.805.481,0.560.941.715,08:00:00.000,17:00:00.000,35.5525325,6.17212109375002,"5"
"171",6340,A.G,Coopérative Meddour,Batna,3/13/16,033.294.560,033.294.560,0.560.376.126,08:00:00.000,17:00:00.000,35.5494102,6.1529526,"5"
"176",6400,A.G,"5, rue Benflis Belgacem - La Verdure",Batna,7/1/15,033.803.272,033.803.272,0.560.668.934,08:00:00.000,20:00:00.000,35.5550725,6.17218359375003,"5"
"177",6410,A.G,N° 12 Avenue El Djanoub Cité Zmala,Batna,6/1/17,033.305.424,033.305.424,0.561.604.551,08:00:00.000,17:00:00.000,35.5182341,6.2152245,"5"
